controller,seed,final_J,best_J,mean_J_after,mean_coverage_before,mean_coverage_after,final_coverage,mean_entropy_after,final_zone_accuracy,total_movement,infeasible_proposals,recovered,steps_to_recovery
Fixed,0,1.4282129734299103,1.7459415472665314,1.4521355624646024,0.8597222222222222,0.6465277777777777,0.6083333333333333,0.42876208124706583,0.325,0.0,0,False,
Fixed,1,1.4639244813792238,1.7376694973515177,1.5029096569297729,0.848611111111111,0.6965277777777779,0.675,0.3867738220550932,0.43333333333333335,0.0,0,False,
Fixed,2,1.4989349758940258,1.746530851864346,1.5045824464183626,0.8652777777777779,0.6895833333333333,0.7083333333333334,0.37163285581501443,0.49166666666666664,0.0,0,False,
Fixed,3,1.519779914446985,1.7547429855870262,1.526784721332476,0.8694444444444445,0.7104166666666667,0.7083333333333334,0.3943216395273929,0.5,0.0,0,False,
Fixed,4,1.5311005861849372,1.7880081125781373,1.5585296793502597,0.8944444444444444,0.7388888888888888,0.7333333333333333,0.3591685819626726,0.425,0.0,0,False,
InfoBO,0,0.6730265462134033,1.467555845871543,0.7417208484243676,0.4381944444444445,0.29097222222222224,0.2,0.8665373270669106,0.175,11.657970438099433,0,False,
InfoBO,1,1.5423876418009996,1.7869542639967437,0.835248509832645,0.5618055555555554,0.39722222222222214,0.6,0.7229684615102698,0.425,12.625484541398897,0,False,
InfoBO,2,1.515407890951077,1.71813404781888,0.6984718892522382,0.4541666666666666,0.34722222222222215,0.6083333333333333,0.9917196247538328,0.36666666666666664,10.07894977382109,0,False,
InfoBO,3,0.1809170695268021,1.8827389528399492,0.7457660531298093,0.4777777777777778,0.39305555555555555,0.2,0.9295885539100451,0.325,12.485501098849294,0,False,
InfoBO,4,0.07672538016892194,1.8708469125111002,0.8128157911072588,0.38680555555555546,0.40277777777777785,0.15,0.8266973267086192,0.2833333333333333,11.696775353771994,0,False,
Random,0,0.36058876835901926,1.3566974554418745,0.5256733529019213,0.42569444444444443,0.2819444444444445,0.2,1.0565873771536196,0.24166666666666667,11.956437548728829,0,False,
Random,1,1.1148118008239214,1.899682937755393,1.095574567443756,0.4756944444444444,0.5152777777777778,0.675,0.6796402553052948,0.39166666666666666,12.16024023058395,0,False,
Random,2,0.48004531168602244,1.71813404781888,0.5327592294734004,0.46458333333333335,0.3,0.24166666666666667,1.0066360571847197,0.23333333333333334,12.474609038567442,0,False,
Random,3,0.789300658259465,1.960312025304366,0.9149538739199697,0.3763888888888889,0.42430555555555566,0.45,0.8753166333092973,0.375,11.53442641546906,0,False,
Random,4,0.9879669246845375,1.4519217283612351,0.8457715007415397,0.3972222222222222,0.42916666666666664,0.475,0.9572083419557545,0.35,12.154328062678054,0,False,
ReadRateBO,0,0.18329792671721534,1.1698456915370665,0.5145820681007937,0.4361111111111111,0.30347222222222225,0.19166666666666668,0.8612838178004952,0.21666666666666667,11.657970438099433,0,False,
ReadRateBO,1,1.0958384274778934,1.2746439370338887,0.6042859055393336,0.5645833333333334,0.3902777777777777,0.5666666666666667,0.728687265684503,0.4166666666666667,12.625484541398897,0,False,
ReadRateBO,2,1.2414895329023798,1.2414895329023798,0.43889449023046745,0.45694444444444443,0.34930555555555554,0.6333333333333333,0.998908922947343,0.38333333333333336,10.07894977382109,0,False,
ReadRateBO,3,0.15389149375544647,1.3751720575186779,0.6264230896403371,0.4791666666666667,0.45625000000000004,0.2916666666666667,0.7944704358600854,0.2916666666666667,13.18402247123256,0,False,
ReadRateBO,4,0.25015695101805474,1.206278175360599,0.659886692574958,0.47361111111111115,0.43472222222222223,0.225,0.8019692085640383,0.275,11.410682899432746,0,False,
SimulatedAnnealing,0,1.403573483366644,1.6621532382127826,1.3479409587073938,0.7625000000000001,0.5284722222222222,0.5083333333333333,0.3522288208391269,0.3,4.50660594171603,0,False,
SimulatedAnnealing,1,1.4782610925852726,1.6677296001558612,1.4460084973328853,0.7673611111111112,0.6375,0.6,0.3546237123650285,0.4083333333333333,4.578661956837458,6,False,
SimulatedAnnealing,2,1.3673912036043407,1.6647011129251252,1.3330991209726226,0.8104166666666667,0.6604166666666668,0.6833333333333333,0.44986900025245974,0.4166666666666667,4.4828362111914775,10,False,
SimulatedAnnealing,3,1.4562150798674793,1.6807472341492884,1.4867410029888983,0.7895833333333333,0.6395833333333334,0.6083333333333333,0.31887223331160525,0.35,3.9628124055431773,6,False,
SimulatedAnnealing,4,1.5362107297193859,1.7992967559295023,1.527206527693018,0.8576388888888888,0.7270833333333333,0.7583333333333333,0.270752050445306,0.4666666666666667,3.886236745079442,10,False,
