controller,final_J,final_J_sd,mean_J_after,cov_before,cov_after,entropy_after,zone_acc,movement,infeasible,recovery_rate,steps_to_recovery
Fixed,1.4883905862670166,0.04225089805062682,1.5089884132990945,0.8675,0.6963888888888888,0.38813179612144777,0.43499999999999994,0.0,0.0,0.0,
SimulatedAnnealing,1.4483303178286246,0.06564164453017078,1.4281992215389636,0.7975,0.6386111111111111,0.3492691634427053,0.3883333333333333,4.283430652073517,6.4,0.0,
InfoBO,0.7976929057322408,0.7045270321598182,0.7668046183492637,0.46374999999999994,0.36624999999999996,0.8675022587899355,0.315,11.708936241188141,0.0,0.0,
Random,0.7465426927625931,0.32238072414771063,0.7829465048961175,0.42791666666666667,0.3901388888888889,0.9150777329817371,0.31833333333333336,12.056008259205466,0.0,0.0,
ReadRateBO,0.584934866374198,0.536487034296764,0.568814449217178,0.48208333333333336,0.3868055555555555,0.8370639301712931,0.3166666666666667,11.791422024796946,0.0,0.0,
