controller,seed,step,phase,J_full,J_control,coverage,concentration,entropy,eig,movement,latency,zone_accuracy,infeasible_proposals,baseline_coverage
Fixed,0,13,after,1.4506376914946149,1.4506376914946149,0.6333333333333333,0.7402578991957031,0.42864971229296744,0.3720477030104794,0.0,0.15,0.375,0,0.85
Fixed,0,14,after,1.4099044441632473,1.4099044441632473,0.625,0.7319112062961023,0.44741335718053554,0.3409824069891889,0.0,0.15,0.3416666666666667,0,0.85
Fixed,0,15,after,1.4782589290373491,1.4782589290373491,0.6666666666666666,0.749196670469522,0.42439501609326136,0.34558351486718064,0.0,0.15,0.4083333333333333,0,0.85
Fixed,0,16,after,1.4691078416186618,1.4691078416186618,0.65,0.7438211022556346,0.4276440221608372,0.3686312022841286,0.0,0.15,0.38333333333333336,0,0.85
Fixed,0,17,after,1.4326204092177106,1.4326204092177106,0.65,0.7319072415729712,0.4546601275203956,0.3406672498291054,0.0,0.15,0.3333333333333333,0,0.85
Fixed,0,18,after,1.4961861556226526,1.4961861556226526,0.6666666666666666,0.7503978694194885,0.42662347598048184,0.37453189026877987,0.0,0.15,0.36666666666666664,0,0.85
Fixed,0,19,after,1.5019171091683996,1.5019171091683996,0.675,0.7586110110489327,0.40526558950015995,0.34623504893738544,0.0,0.15,0.4166666666666667,0,0.85
Fixed,0,20,after,1.4082316094081566,1.4082316094081566,0.625,0.7372112885635064,0.4355352786304254,0.32364873027851954,0.0,0.15,0.36666666666666664,0,0.85
Fixed,0,21,after,1.4698563529520883,1.4698563529520883,0.6416666666666667,0.7541006799133702,0.4066069645642731,0.3565182944093491,0.0,0.15,0.3416666666666667,0,0.85
Fixed,0,22,after,1.4428774797105763,1.4428774797105763,0.6583333333333333,0.7318670703200821,0.4443621407325425,0.33898814569314917,0.0,0.15,0.36666666666666664,0,0.85
Fixed,0,23,after,1.4282129734299103,1.4282129734299103,0.6083333333333333,0.7407527365269181,0.41748365570753937,0.3701453725299189,0.0,0.15,0.325,0,0.85
Fixed,1,0,before,1.680556728071863,1.680556728071863,0.8333333333333334,0.8238697289258862,0.3232577891697611,0.23187691280905365,0.0,0.15,0.525,0,0.85
Fixed,1,1,before,1.7145225631247412,1.7145225631247412,0.8666666666666667,0.8255487794940064,0.3336289700986503,0.23512014849285173,0.0,0.15,0.5333333333333333,0,0.85
Fixed,1,2,before,1.6777407593355855,1.6777407593355855,0.8416666666666667,0.8020283387015428,0.36130247074862487,0.26799268421561684,0.0,0.15,0.525,0,0.85
Fixed,1,3,before,1.6883636999910636,1.6883636999910636,0.8666666666666667,0.7956312257519376,0.3867450004322981,0.26692804402485776,0.0,0.15,0.5333333333333333,0,0.85
Fixed,1,4,before,1.7125615715645877,1.7125615715645877,0.8416666666666667,0.8138107484874223,0.3514347756959567,0.30164466338165846,0.0,0.15,0.5,0,0.85
Fixed,1,5,before,1.7165505897984408,1.7165505897984408,0.8583333333333333,0.8128666514351223,0.355021362479787,0.2838135280697193,0.0,0.15,0.5083333333333333,0,0.85
Fixed,1,6,before,1.7376694973515177,1.7376694973515177,0.8583333333333333,0.8262156405345863,0.33653939936832394,0.28787544665014053,0.0,0.15,0.5333333333333333,0,0.85
Fixed,1,7,before,1.6436427601126313,1.6436427601126313,0.7916666666666666,0.8118610627715943,0.3450543450959499,0.27029444862632257,0.0,0.15,0.49166666666666664,0,0.85
Fixed,1,8,before,1.7128207679389207,1.7128207679389207,0.8666666666666667,0.8095043361704272,0.3544939405185402,0.26905849184013997,0.0,0.15,0.5,0,0.85
Fixed,1,9,before,1.67836072761079,1.67836072761079,0.85,0.7952420743037095,0.386252274172587,0.2784458356720924,0.0,0.15,0.4583333333333333,0,0.85
Fixed,1,10,before,1.7202238836350456,1.7202238836350456,0.8583333333333333,0.8172495936516136,0.3500453296272894,0.28023781479670895,0.0,0.15,0.5,0,0.85
Fixed,1,11,before,1.7039884463943606,1.7039884463943606,0.85,0.8151867022881735,0.34873298465071656,0.2698746893603107,0.0,0.15,0.5333333333333333,0,0.85
Fixed,1,12,after,1.5235202583112621,1.5235202583112621,0.7083333333333334,0.7877001597158115,0.3638966492038376,0.25830857250435807,0.0,0.15,0.4166666666666667,0,0.85
Fixed,1,13,after,1.4464379599885842,1.4464379599885842,0.6833333333333333,0.7600003273990966,0.4112620365265273,0.2404490656278292,0.0,0.15,0.4,0,0.85
Fixed,1,14,after,1.4767003473368974,1.4767003473368974,0.6666666666666666,0.7633615150101595,0.3989853624768237,0.3071583440443186,0.0,0.15,0.36666666666666664,0,0.85
Fixed,1,15,after,1.5560000275055896,1.5560000275055896,0.7,0.7928940632859346,0.3597443865510866,0.3156770878543902,0.0,0.15,0.475,0,0.85
Fixed,1,16,after,1.4777877493363207,1.4777877493363207,0.7,0.7597308204197198,0.40774102803041334,0.2636768678964832,0.0,0.15,0.4166666666666667,0,0.85
Fixed,1,17,after,1.4994535522865395,1.4994535522865395,0.6916666666666667,0.7760765059929082,0.3864047354301231,0.27617203123862477,0.0,0.15,0.49166666666666664,0,0.85
Fixed,1,18,after,1.5176568280444227,1.5176568280444227,0.7166666666666667,0.7729261977567383,0.3892896908479981,0.2714820415202313,0.0,0.15,0.4,0,0.85
Fixed,1,19,after,1.5409732013762791,1.5409732013762791,0.7166666666666667,0.7800117606492051,0.37141497121544476,0.2899374691288251,0.0,0.15,0.45,0,0.85
Fixed,1,20,after,1.5011119673640068,1.5011119673640068,0.6916666666666667,0.7756799739848029,0.38870481338230806,0.2807030467330037,0.0,0.15,0.4,0,0.85
Fixed,1,21,after,1.5264098239001764,1.5264098239001764,0.7166666666666667,0.7768810988188429,0.38225532882696395,0.27609605310845814,0.0,0.15,0.43333333333333335,0,0.85
Fixed,1,22,after,1.504939686327971,1.504939686327971,0.6916666666666667,0.7792532756708413,0.3827108416242204,0.2782445844193396,0.0,0.15,0.425,0,0.85
Fixed,1,23,after,1.4639244813792238,1.4639244813792238,0.675,0.7596996062438668,0.39887602054537225,0.2780269441490392,0.0,0.15,0.43333333333333335,0,0.85
Fixed,2,0,before,1.7429215891274763,1.7429215891274763,0.8833333333333333,0.8256477776244366,0.34122246842922316,0.258160784630421,0.0,0.15,0.5916666666666667,0,0.8916666666666667
Fixed,2,1,before,1.7234835442427714,1.7234835442427714,0.875,0.8302316583039295,0.32443985681975107,0.22394240073159621,0.0,0.15,0.575,0,0.8916666666666667
Fixed,2,2,before,1.7305606663321895,1.7305606663321895,0.875,0.8175417094402221,0.34463973522881564,0.2666016071225787,0.0,0.15,0.5416666666666666,0,0.8916666666666667
Fixed,2,3,before,1.7425565256130093,1.7425565256130093,0.8833333333333333,0.8180630176075527,0.35903021347428254,0.27875732728975644,0.0,0.15,0.6,0,0.8916666666666667
Fixed,2,4,before,1.7319291931355234,1.7319291931355234,0.8916666666666667,0.8102395446822617,0.364477549366993,0.2628149539733663,0.0,0.15,0.6083333333333333,0,0.8916666666666667
Fixed,2,5,before,1.692416683834279,1.692416683834279,0.8583333333333333,0.8137901408555658,0.358113022574504,0.24353797665763122,0.0,0.15,0.5333333333333333,0,0.8916666666666667
Fixed,2,6,before,1.7259311201585061,1.7259311201585061,0.8583333333333333,0.8206090438743483,0.34170203047250775,0.28013851319283295,0.0,0.15,0.6333333333333333,0,0.8916666666666667
Fixed,2,7,before,1.6816723128339361,1.6816723128339361,0.8583333333333333,0.8077850111967559,0.37123538406382905,0.24194976303687665,0.0,0.15,0.5833333333333334,0,0.8916666666666667
Fixed,2,8,before,1.746530851864346,1.746530851864346,0.875,0.8341270437974588,0.32882796721816765,0.2579725059818951,0.0,0.15,0.55,0,0.8916666666666667
Fixed,2,9,before,1.7110746823933214,1.7110746823933214,0.875,0.8027685787293473,0.37535063623454196,0.2735156732699874,0.0,0.15,0.5583333333333333,0,0.8916666666666667
Fixed,2,10,before,1.664500904022503,1.664500904022503,0.8166666666666667,0.8116439714696432,0.34811814930513746,0.26522655235897696,0.0,0.15,0.5666666666666667,0,0.8916666666666667
Fixed,2,11,before,1.6758023667627813,1.6758023667627813,0.8333333333333334,0.8066463624399361,0.3708800306163296,0.27556004529416134,0.0,0.15,0.525,0,0.8916666666666667
Fixed,2,12,after,1.5444835470013445,1.5444835470013445,0.7,0.789305772841935,0.37000153076519254,0.3073960814511053,0.0,0.15,0.475,0,0.8916666666666667
Fixed,2,13,after,1.4762109132471446,1.4762109132471446,0.6833333333333333,0.7854517342732446,0.36593870123461014,0.22585572591445105,0.0,0.15,0.39166666666666666,0,0.8916666666666667
Fixed,2,14,after,1.5004097503181086,1.5004097503181086,0.675,0.7889567279434487,0.35707610488454583,0.2699723458700606,0.0,0.15,0.4583333333333333,0,0.8916666666666667
Fixed,2,15,after,1.4925139902636118,1.4925139902636118,0.6916666666666667,0.780130011069684,0.37472071410626157,0.2522314261985934,0.0,0.15,0.475,0,0.8916666666666667
Fixed,2,16,after,1.526327796223076,1.526327796223076,0.6916666666666667,0.7896308120990215,0.36089168291660945,0.28610274284293447,0.0,0.15,0.45,0,0.8916666666666667
Fixed,2,17,after,1.5260491211719542,1.5260491211719542,0.6916666666666667,0.787792409647844,0.35750365589495453,0.28707299191551466,0.0,0.15,0.49166666666666664,0,0.8916666666666667
Fixed,2,18,after,1.4782755905918745,1.4782755905918745,0.6666666666666666,0.7725826692088511,0.38049804326524034,0.2855246378895001,0.0,0.15,0.48333333333333334,0,0.8916666666666667
Fixed,2,19,after,1.534207743772372,1.534207743772372,0.7083333333333334,0.7908944525529599,0.36584711574115614,0.27173520301123016,0.0,0.15,0.5,0,0.8916666666666667
Fixed,2,20,after,1.5557494977850357,1.5557494977850357,0.7166666666666667,0.7992075387201242,0.34814941643883185,0.27138329952530443,0.0,0.15,0.44166666666666665,0,0.8916666666666667
Fixed,2,21,after,1.4734759185673794,1.4734759185673794,0.675,0.7680398376589523,0.3963167999419948,0.2788148954798113,0.0,0.15,0.475,0,0.8916666666666667
Fixed,2,22,after,1.4483505121844236,1.4483505121844236,0.6666666666666666,0.7757767254627498,0.37368454018506964,0.2270494777523028,0.0,0.15,0.48333333333333334,0,0.8916666666666667
Fixed,2,23,after,1.4989349758940258,1.4989349758940258,0.7083333333333334,0.7645053175312228,0.4089659644057068,0.2776649312959445,0.0,0.15,0.49166666666666664,0,0.8916666666666667
Fixed,3,0,before,1.7143293433194016,1.7143293433194016,0.875,0.8123449026781887,0.3563110264369836,0.25382345135358564,0.0,0.15,0.5666666666666667,0,0.8666666666666667
Fixed,3,1,before,1.680658719528738,1.680658719528738,0.85,0.7969236512628051,0.3863162658066329,0.2795039674078785,0.0,0.15,0.5416666666666666,0,0.8666666666666667
Fixed,3,2,before,1.7172366260004943,1.7172366260004943,0.9,0.790203509742219,0.40381872574375305,0.2767509514466631,0.0,0.15,0.575,0,0.8666666666666667
Fixed,3,3,before,1.7547429855870262,1.7547429855870262,0.875,0.8151282319152983,0.3591682980948473,0.3179146969548684,0.0,0.15,0.6,0,0.8666666666666667
Fixed,3,4,before,1.6828899051358324,1.6828899051358324,0.8333333333333334,0.8129460843044952,0.35208620198812024,0.2678351516879033,0.0,0.15,0.55,0,0.8666666666666667
Fixed,3,5,before,1.7521389707808532,1.7521389707808532,0.9,0.8279460882633755,0.3352320984055839,0.2390340328346418,0.0,0.15,0.625,0,0.8666666666666667
Fixed,3,6,before,1.73508780722546,1.73508780722546,0.8833333333333333,0.8208460569541669,0.347430206036566,0.2560926399979281,0.0,0.15,0.575,0,0.8666666666666667
Fixed,3,7,before,1.7225501352546713,1.7225501352546713,0.875,0.827968020167059,0.34216501203141114,0.23468344715383033,0.0,0.15,0.5833333333333334,0,0.8666666666666667
Fixed,3,8,before,1.6565519775945923,1.6565519775945923,0.8583333333333333,0.8073186990144126,0.37253496548435144,0.20148469116541567,0.0,0.15,0.6,0,0.8666666666666667
Fixed,3,9,before,1.69245543743543,1.69245543743543,0.825,0.8089098747473654,0.35783211531583575,0.30715681055909555,0.0,0.15,0.575,0,0.8666666666666667
Fixed,3,10,before,1.738337017947051,1.738337017947051,0.875,0.8149575823870036,0.3521643305320023,0.287487637012246,0.0,0.15,0.525,0,0.8666666666666667
Fixed,3,11,before,1.6822443283794235,1.6822443283794235,0.8833333333333333,0.7980219788170418,0.40330200123373694,0.23292895943524933,0.0,0.15,0.5833333333333334,0,0.8666666666666667
Fixed,3,12,after,1.565459026251789,1.565459026251789,0.7,0.7904804837303151,0.3580469140450813,0.33464840663526824,0.0,0.15,0.45,0,0.8666666666666667
Fixed,3,13,after,1.4452030784095005,1.4452030784095005,0.675,0.7540443632992065,0.4223694114026017,0.26754794360173134,0.0,0.15,0.44166666666666665,0,0.8666666666666667
Fixed,3,14,after,1.549269983223953,1.549269983223953,0.725,0.7666083187156822,0.3997345829033195,0.3258344743225973,0.0,0.15,0.43333333333333335,0,0.8666666666666667
Fixed,3,15,after,1.5538865863312288,1.5538865863312288,0.7166666666666667,0.7938044167003556,0.36322775182010564,0.2845347970283819,0.0,0.15,0.4666666666666667,0,0.8666666666666667
Fixed,3,16,after,1.5009064537870669,1.5009064537870669,0.7166666666666667,0.7751096063511759,0.3933313006951156,0.2418693402617902,0.0,0.15,0.4666666666666667,0,0.8666666666666667
Fixed,3,17,after,1.492690438114046,1.492690438114046,0.7083333333333334,0.7707964954836423,0.3989655619574751,0.2519628947356263,0.0,0.15,0.4666666666666667,0,0.8666666666666667
Fixed,3,18,after,1.5647280920925903,1.5647280920925903,0.725,0.7740317061045608,0.3933117082060122,0.33613692696417596,0.0,0.15,0.45,0,0.8666666666666667
Fixed,3,19,after,1.5306435868120443,1.5306435868120443,0.725,0.7666181559760243,0.41654955109877284,0.3028603752782741,0.0,0.15,0.475,0,0.8666666666666667
Fixed,3,20,after,1.5836001216445987,1.5836001216445987,0.7333333333333333,0.7912340419451416,0.3734183658073996,0.3154641854526053,0.0,0.15,0.44166666666666665,0,0.8666666666666667
Fixed,3,21,after,1.4756338006662024,1.4756338006662024,0.6916666666666667,0.7539987262914027,0.4242425688944206,0.2914648962728802,0.0,0.15,0.45,0,0.8666666666666667
Fixed,3,22,after,1.5396155742097082,1.5396155742097082,0.7,0.7796976383225596,0.3867911148523656,0.3233704342310545,0.0,0.15,0.49166666666666664,0,0.8666666666666667
Fixed,3,23,after,1.519779914446985,1.519779914446985,0.7083333333333334,0.7720301858463348,0.4018708426460447,0.2964530160333004,0.0,0.15,0.5,0,0.8666666666666667
Fixed,4,0,before,1.7392556448494152,1.7392556448494152,0.8833333333333333,0.8332265237659392,0.32591199910586016,0.23205685454231506,0.0,0.15,0.5416666666666666,0,0.875
Fixed,4,1,before,1.7759432324734117,1.7759432324734117,0.9,0.8389988278478921,0.31721541321478564,0.25162237555537065,0.0,0.15,0.5666666666666667,0,0.875
Fixed,4,2,before,1.7545846490873533,1.7545846490873533,0.9166666666666666,0.8276846962380191,0.3457992755969715,0.2208497769866945,0.0,0.15,0.6,0,0.875
Fixed,4,3,before,1.7863426653666388,1.7863426653666388,0.9,0.8417976849261152,0.31541793792894324,0.26342559902004214,0.0,0.15,0.55,0,0.875
Fixed,4,4,before,1.729328949238823,1.729328949238823,0.8833333333333333,0.817845040921156,0.3519020983150114,0.2536467623463857,0.0,0.15,0.5833333333333334,0,0.875
Fixed,4,5,before,1.7623586439759211,1.7623586439759211,0.875,0.8328495218647667,0.31394391583324255,0.2793236470152178,0.0,0.15,0.55,0,0.875
Fixed,4,6,before,1.7791614526210642,1.7791614526210642,0.9166666666666666,0.8364021732641961,0.33148406739284214,0.24039782787078795,0.0,0.15,0.5666666666666667,0,0.875
Fixed,4,7,before,1.6991115673299342,1.6991115673299342,0.875,0.8261697438748923,0.3393449589588128,0.19726013557191904,0.0,0.15,0.5416666666666666,0,0.875
Fixed,4,8,before,1.6845384073244263,1.6845384073244263,0.85,0.8202589536880784,0.34444302028279244,0.22694116847084694,0.0,0.15,0.5666666666666667,0,0.875
Fixed,4,9,before,1.770359966842787,1.770359966842787,0.9083333333333333,0.8306849249796335,0.3315747350271531,0.2491899228522823,0.0,0.15,0.5666666666666667,0,0.875
Fixed,4,10,before,1.7730950577315863,1.7730950577315863,0.9166666666666666,0.8340222279517452,0.32918329951766806,0.23314730977449277,0.0,0.15,0.5583333333333333,0,0.875
Fixed,4,11,before,1.7880081125781373,1.7880081125781373,0.9083333333333333,0.84360151299747,0.3118141944655736,0.24757304109031336,0.0,0.15,0.55,0,0.875
Fixed,4,12,after,1.5395819002739672,1.5395819002739672,0.7583333333333333,0.7980762671486418,0.36481316459095753,0.18489188078878116,0.0,0.15,0.4666666666666667,0,0.875
Fixed,4,13,after,1.4966415463786105,1.4966415463786105,0.6916666666666667,0.7837120190878903,0.3655036387343414,0.24870819671639105,0.0,0.15,0.49166666666666664,0,0.875
Fixed,4,14,after,1.5727973190106088,1.5727973190106088,0.7416666666666667,0.7922941046773111,0.3632882914904508,0.2769323182931509,0.0,0.15,0.5,0,0.875
Fixed,4,15,after,1.5348031154278798,1.5348031154278798,0.7166666666666667,0.8005342782713377,0.3443348040698286,0.2324269888954638,0.0,0.15,0.44166666666666665,0,0.875
Fixed,4,16,after,1.6110945649546373,1.6110945649546373,0.7583333333333333,0.8137790379433097,0.33523431162739536,0.26368394910354687,0.0,0.15,0.4666666666666667,0,0.875
Fixed,4,17,after,1.5268869367212738,1.5268869367212738,0.7166666666666667,0.7761217533550491,0.3786993317129319,0.2764467437826674,0.0,0.15,0.4583333333333333,0,0.875
Fixed,4,18,after,1.6248760694264426,1.6248760694264426,0.775,0.8006301021887386,0.3666155682019245,0.2958814327820419,0.0,0.15,0.425,0,0.875
Fixed,4,19,after,1.553424806619804,1.553424806619804,0.7416666666666667,0.7988539320434876,0.3527222230572956,0.22863054718811354,0.0,0.15,0.475,0,0.875
Fixed,4,20,after,1.5966621357300212,1.5966621357300212,0.7583333333333333,0.8027614060534657,0.34793717382437006,0.2641014056444835,0.0,0.15,0.4583333333333333,0,0.875
Fixed,4,21,after,1.5592454440949317,1.5592454440949317,0.7416666666666667,0.7920855589198037,0.36189956517295035,0.2540256001723981,0.0,0.15,0.44166666666666665,0,0.875
Fixed,4,22,after,1.5552417273800032,1.5552417273800032,0.7333333333333333,0.8077527414603499,0.343892278275385,0.2264699824665017,0.0,0.15,0.4583333333333333,0,0.875
Fixed,4,23,after,1.5311005861849372,1.5311005861849372,0.7333333333333333,0.7822479391867899,0.3850826327942402,0.24855112432959525,0.0,0.15,0.425,0,0.875
Random,0,0,before,0.5395438240347803,0.5395438240347803,0.2833333333333333,0.5751070499311989,0.8426209429161143,0.29427550916291145,0.6243772459350759,0.43346453205415897,0.225,0,0.85
Random,0,1,before,1.2360272786055486,1.2360272786055486,0.5833333333333334,0.6797955684885594,0.6832127082756794,0.6293986865067998,0.5072369021744689,0.36957498165170116,0.4083333333333333,0,0.85
Random,0,2,before,0.6781945421421505,0.6781945421421505,0.375,0.5944599775632912,0.848044286193973,0.29851822635758213,0.536297422723283,0.4319552479296796,0.26666666666666666,0,0.85
Random,0,3,before,1.3566974554418745,1.3566974554418745,0.6666666666666666,0.7871119231440485,0.5072019843899308,0.4256528217379206,0.4807891067113421,0.4125902525100747,0.4583333333333333,0,0.85
Random,0,4,before,1.2943700620631147,1.2943700620631147,0.6666666666666666,0.7601601579818087,0.4896913866959683,0.2968240766704351,0.3976706885803615,0.33303289988700585,0.4,0,0.85
Random,0,5,before,1.028617209733381,1.028617209733381,0.4666666666666667,0.7442174806490561,0.5838961490639465,0.27461318740774454,0.4237650111097943,0.3428568730953769,0.325,0,0.85
Random,0,6,before,0.48422611864008247,0.48422611864008247,0.31666666666666665,0.5686689632549905,0.8876808879287246,0.13784739903316562,0.5908756534352357,0.33616461126377944,0.25833333333333336,0,0.85
Random,0,7,before,0.6844479727174527,0.6844479727174527,0.2916666666666667,0.5973386578894891,0.8495294277822335,0.35417311744057356,0.381049878511722,0.3841592015959819,0.275,0,0.85
Random,0,8,before,0.3946552646576582,0.3946552646576582,0.23333333333333334,0.4852347259577011,1.0110332273733595,0.20769635847986667,0.3652943763901947,0.31479848095423896,0.18333333333333332,0,0.85
Random,0,9,before,1.1890871514834442,1.1890871514834442,0.6583333333333333,0.6158029207595781,0.7632843929979367,0.6130500595840938,0.5902816114197368,0.3703822214719277,0.21666666666666667,0,0.85
Random,0,10,before,0.5798479834539304,0.5798479834539304,0.375,0.5323951669323251,0.8721996347982969,0.26606554507803454,0.5636106395255425,0.4429313407321274,0.2916666666666667,0,0.85
Random,0,11,before,0.1482135504884769,0.1482135504884769,0.19166666666666668,0.4326383951124606,1.1888665593595997,0.14593325173842864,0.5556769249100307,0.35942671311556323,0.16666666666666666,0,0.85
Random,0,12,after,0.4389469768930977,0.4389469768930977,0.24166666666666667,0.48241085617930585,1.1266375952432095,0.3870744448337675,0.4542739344349749,0.37342758810235815,0.225,0,0.85
Random,0,13,after,0.20818037363731895,0.20818037363731895,0.14166666666666666,0.43062666012241435,1.2306703952291058,0.36731488830429493,0.550825529470901,0.4277187470659367,0.13333333333333333,0,0.85
Random,0,14,after,1.2005288983498617,1.2005288983498617,0.5666666666666667,0.67748360512059,0.6461998038941404,0.7072406859500623,0.7277643344059207,0.42121756123571086,0.26666666666666666,0,0.85
Random,0,15,after,0.38353371557344457,0.38353371557344457,0.25,0.49761555045419836,1.0664807055372296,0.3269999087267171,0.6228185606420453,0.4380995127180377,0.275,0,0.85
Random,0,16,after,0.36687670044531656,0.36687670044531656,0.26666666666666666,0.46595651373963265,1.1157459415028204,0.334013932333339,0.5955012029543734,0.4371216742336852,0.275,0,0.85
Random,0,17,after,0.7348653512613035,0.7348653512613035,0.3416666666666667,0.5440293955935809,0.8996419016038477,0.4800402359425969,0.4213354753289603,0.352482853079043,0.2833333333333333,0,0.85
Random,0,18,after,0.05999021309812369,0.05999021309812369,0.2,0.37197465567080373,1.3844822554911702,0.16523309681584053,0.5010134367392122,0.4089542186749668,0.20833333333333334,0,0.85
Random,0,19,after,0.483173335258425,0.483173335258425,0.225,0.4286997468150694,1.1615584059506483,0.49691804132995887,0.2781697394582323,0.3338093608238141,0.2,0,0.85
Random,0,20,after,1.0509480507922229,1.0509480507922229,0.4666666666666667,0.6048889088072599,0.6942829400695297,0.6792691234806802,0.5606659725765598,0.3976099738314661,0.275,0,0.85
Random,0,21,after,0.05774326636009108,0.05774326636009108,0.15,0.38698787359011116,1.4112156796758362,0.15885741859317914,0.35569934857143837,0.40438987517253705,0.15833333333333333,0,0.85
Random,0,22,after,0.9627045847948315,0.9627045847948315,0.3333333333333333,0.5721709084557705,0.8129626636146389,0.8444744795849823,0.49514454418617115,0.4424636056297723,0.25,0,0.85
Random,0,23,after,0.36058876835901926,0.36058876835901926,0.2,0.4917935257903772,1.1291702380312596,0.24984297962218438,0.37630000853325213,0.28273921399514174,0.24166666666666667,0,0.85
Random,1,0,before,0.8863228507127736,0.8863228507127736,0.44166666666666665,0.6304794901573533,0.8332691510142602,0.48397266634141206,0.5884956210981543,0.394850434718942,0.31666666666666665,0,0.85
Random,1,1,before,1.6906204077351301,1.6906204077351301,0.7166666666666667,0.8969073117349879,0.26570712146928666,0.6815938078719443,0.6355791679024521,0.4304615714962061,0.4166666666666667,0,0.85
Random,1,2,before,1.1088649816218834,1.1088649816218834,0.6583333333333333,0.7510179884414998,0.5787790609764216,0.07837511941117617,0.40806665283469756,0.3872738649402351,0.475,0,0.85
Random,1,3,before,0.7866739745001035,0.7866739745001035,0.375,0.5956968131559255,0.740291716146338,0.39497784201542563,0.496566101692133,0.3895778387889138,0.31666666666666665,0,0.85
Random,1,4,before,0.5626533508560145,0.5626533508560145,0.23333333333333334,0.5837716865927546,0.739935942478687,0.2663426316251518,0.462986607172189,0.4124058862373808,0.21666666666666667,0,0.85
Random,1,5,before,1.2919083671724734,1.2919083671724734,0.7583333333333333,0.8018225775221459,0.38584146632334254,0.17329736064635726,0.6485014816058428,0.44230134388176695,0.39166666666666666,0,0.85
Random,1,6,before,0.38457465136777513,0.38457465136777513,0.2916666666666667,0.5066828109500924,1.061420094146063,0.12094569368567476,0.3773061107294595,0.4459287201111103,0.23333333333333334,0,0.85
Random,1,7,before,0.8247744090074949,0.8247744090074949,0.35,0.6188237916015391,0.7275638079969285,0.5357394193391474,0.6426946251864347,0.4183607139740694,0.26666666666666666,0,0.85
Random,1,8,before,0.17919050826760285,0.17919050826760285,0.18333333333333332,0.46428675780924106,1.272439093393981,0.17570806456846688,0.4736849097558899,0.43067089809823783,0.20833333333333334,0,0.85
Random,1,9,before,1.8781118884179946,1.8781118884179946,0.75,0.8434672696608677,0.36725683413036947,0.938733267760856,0.39638302597626923,0.3580834096000881,0.49166666666666664,0,0.85
Random,1,10,before,1.4462722214761758,1.4462722214761758,0.7333333333333333,0.8600529727148554,0.3613766120437452,0.23138362220565253,0.4266301433529771,0.3578931044783854,0.3333333333333333,0,0.85
Random,1,11,before,0.1313075240082089,0.1313075240082089,0.21666666666666667,0.4608405767487159,1.213104833718782,0.10321314102565676,0.6688612913879464,0.38294100712853574,0.16666666666666666,0,0.85
Random,1,12,after,1.688532898431292,1.688532898431292,0.6083333333333333,0.883409199742991,0.3347369069928667,0.8381838095620244,0.5305651501898402,0.33577146787380696,0.3416666666666667,0,0.85
Random,1,13,after,0.5785924051897859,0.5785924051897859,0.36666666666666664,0.5719111990047062,0.8427754757425469,0.19437595633005691,0.5661998272301749,0.4238499081549776,0.225,0,0.85
