Level,Alpha,TargetCoverage,EmpiricalCoverage,MeanSetSize,SingletonRate
Event (APS),0.1,0.9,0.9998,3.1981,0.0892
Trajectory (CRF path score),0.1,0.9,0.9119,16.8307,0.0156
