ProposedSimilarity,RawReaderSimilarity,ExactRouteRate,GraphInconsistency,MeanRepairCost,SensingAUROC,OperationalAUROC,Gamma
0.9643,0.9659,0.79,0.0131,0.2,0.5915,0.894,0.0
0.8746,0.7968,0.41,0.0299,0.62,0.5772,0.8144,0.2
0.7692,0.657,0.1886,0.0471,1.364,0.6772,0.7488,0.4
0.6782,0.5582,0.12,0.0493,1.904,0.5648,0.7131,0.6
0.5741,0.4801,0.0571,0.0652,2.408,0.7387,0.6154,0.8
0.4754,0.3917,0.02,0.05,3.024,,0.5922,1.0
