Metric,Mean,SD,CI_low,CI_high
Proposed,0.8933,0.0008,0.8924,0.894
RFViterbi,0.8975,0.0018,0.8956,0.8993
RawReader,0.8174,0.003,0.8155,0.8208
SensingAUROC,0.5948,0.0363,0.5533,0.6207
OperationalAUROC,0.8191,0.016,0.8067,0.8372
