Comparison,MeanDifference,CI_low,CI_high,CliffsDelta,WilcoxonP,N,HolmAdjustedP,Significant(0.05)
Proposed vs RF+Viterbi,-0.004241,-0.006597,-0.001893,0.002254,0.226969,3600,0.226969,False
Proposed vs RawReader,0.075912,0.07154,0.080289,0.311493,0.0,3600,0.0,True
