Gamma,GammaHatMean,MarginalCoverage,AdaptiveCoverage,MarginalQhat,AdaptiveQhatMean
0.0,0.0156,0.9514,0.9414,0.4187,0.2886
0.2,0.2456,0.7857,0.9014,0.4187,0.7874
0.4,0.4564,0.63,0.9286,0.4187,1.3432
0.6,0.6589,0.4843,0.8943,0.4187,1.5863
0.8,0.7755,0.4114,0.8714,0.4187,1.7859
1.0,0.8603,0.3457,0.8629,0.4187,1.9451
