Method,StateAccuracy,StateMacroF1,TrajSimilarity,ExactRouteRate,GraphInconsistency
RawReader,0.9534,0.9533,0.8198,0.231,0.2306
LogReg,0.9623,0.9622,0.8413,0.2857,0.1935
RF,0.9688,0.9687,0.8497,0.2929,0.1851
RF+Viterbi,0.946,0.9458,0.9077,0.4857,0.0393
GRU-CRF (no G),0.9797,0.9796,0.8675,0.3333,0.1487
Transformer-CRF (no G),0.9719,0.9718,0.8564,0.319,0.1678
GT-CRF (proposed),0.9338,0.9336,0.9006,0.4738,0.0267
