epoch,train_loss,val_state_acc,val_route_similarity
0,0.9737568415444473,0.9306678009357721,0.8942277167277167
1,0.6890801335203236,0.9598043385793279,0.8833615458615459
2,0.5926604301765047,0.9632071458953637,0.8772779072779074
3,0.5475449932032618,0.9606550404083368,0.8819268694268696
4,0.4979315821466775,0.9657592513823905,0.8780571280571282
5,0.4520602452343908,0.9657592513823905,0.8791419691419692
6,0.42125829745983256,0.9676733304976606,0.8767849742849745
7,0.3878556823936002,0.9683113568694173,0.8779421504421505
8,0.3673702262598893,0.9685240323266695,0.8766204166204167
9,0.36984183767746237,0.968949383241174,0.8773883523883526
10,0.3453174552013134,0.9687367077839217,0.876455303955304
11,0.3408286489289382,0.9687367077839217,0.8766231916231917
